제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate
몰래 사랑하는 방법,순정,#fce8e2,#bacfe3,#684f62,#93afd3,#ab8489,0.384656613372093,0.24322401889534884,0.14408066860465116,0.13831940406976745,0.08971929505813954
무명 배우의 화려한 변신,순정,#493343,#7b6075,#f5ebe5,#c5a6ac,#9a0e3a,0.3374109738372093,0.2253815406976744,0.1810065406976744,0.1762300145348837,0.07997093023255814
미성년자 흡혈 금지! [웹툰],순정,#421329,#f5e2dc,#62394c,#e29294,#7f6e76,0.2852779796511628,0.22871366279069769,0.22277888808139534,0.17125999273255815,0.09196947674418604
미스타임 (Miss time),순정,#fcf6f4,#d3bcb9,#aa9291,#67514f,#302524,0.4653025072674419,0.26129542151162793,0.11552234738372093,0.08342114825581395,0.07445857558139535
"방과 후, 선생님과",순정,#b1776c,#eab5a7,#824d4c,#f8e8e1,#43362e,0.2554260537790698,0.24049418604651163,0.23970748546511628,0.14631359011627906,0.11805868459302325
베일스 가의 비밀,순정,#f1e9e0,#3c3849,#b6938a,#82beef,#1c5bae,0.39126180959302326,0.17818404796511628,0.15561137354651164,0.14916606104651162,0.1257767078488372
벼랑위의 꽃,순정,#b1bccf,#788ea9,#213132,#f5e9d2,#a8a35e,0.32846475290697674,0.2866215479651163,0.13135265261627907,0.1306313590116279,0.1229296875
"보스 오빠, 살살!",순정,#654e64,#f76888,#f9d6d6,#3a323e,#aa7a83,0.3073710029069767,0.2250390625,0.19957757994186046,0.1422156613372093,0.1257966933139535
"보스 오빠, 제발!",순정,#f2e0d8,#4c312a,#d5a29e,#ae6261,#b30f17,0.29198219476744186,0.236453488372093,0.208125,0.14957576308139534,0.11386355377906977
봉황우비,순정,#f8f9fa,#e5d3d1,#c89d93,#403031,#7c6362,0.2822465479651163,0.20749454941860465,0.20111373546511627,0.1894858284883721,0.1196593386627907
부부를 연기 중입니다,순정,#aba2a7,#d3c9cb,#80787c,#fbf8f7,#3b373f,0.26778343023255813,0.20239462209302325,0.20087300145348838,0.16773164970930232,0.16121729651162792
불순한 동거동락,순정,#fdf9f4,#54515b,#f5e3c9,#8c6e5b,#be8b83,0.3124800145348837,0.27810501453488373,0.20532430959302325,0.13356195494186046,0.07052870639534883
불평등한 계약 결혼,순정,#f8e8f0,#80706e,#b58b89,#dab1b4,#5c535c,0.42473564680232556,0.23217750726744185,0.15339752906976745,0.10976471656976744,0.07992460029069767
브링 더 러브,순정,#f0ece2,#1f1e35,#1f667c,#b1a796,#6f5352,0.28883085029069766,0.22368550145348837,0.1766905886627907,0.15794331395348837,0.15284974563953488
뼈 아픈 연애,순정,#e9c4b9,#ca9686,#564653,#fbf1ea,#9a6e65,0.3250490552325581,0.24699763808139535,0.15464026162790698,0.137734375,0.13557867005813953
사금 동평백부 넷째 아가씨,순정,#e7d0cc,#cb9b95,#4f2c53,#74637d,#ac584f,0.29235374273255815,0.23550054505813953,0.16891715116279069,0.1595657703488372,0.14366279069767443
사랑 선고,순정,#eef1f2,#a9bfd4,#b57164,#343134,#eabdb9,0.3354923691860465,0.23163608284883722,0.1718077761627907,0.1512236555232558,0.10984011627906977
사막의 이방인,순정,#9b8a7b,#cdbda1,#6d6350,#eae6dc,#4d362e,0.23727834302325582,0.23270439680232557,0.23017260174418605,0.15583575581395348,0.14400890261627908
사악한 왕의 독한 왕비,순정,#f8ebf0,#9b9f8b,#78446a,#dabeb5,#648b58,0.23510719476744185,0.22914425872093022,0.18629905523255813,0.18558684593023256,0.1638626453488372
