제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate,file_path
보통남남,BL,#fcf0e2,#92b7c7,#876662,#f0ce8b,#140d0a,0.3565164894833105,0.22565800754458162,0.1982917524005487,0.11705461248285322,0.10247913808870598,보통남남.jpg
불가역 [일반판],BL,#504942,#383430,#a8938d,#6e655d,#d0cdc8,0.3562593005952381,0.23678385416666667,0.20052703373015873,0.15008060515873015,0.05634920634920635,불가역 [일반판].jpg
"불편한, 동거 But",BL,#fcf7ee,#30272c,#5a4d54,#d8c8c3,#988484,0.46805555555555556,0.17313988095238095,0.15740327380952382,0.14921875,0.052182539682539685,"불편한, 동거 But....jpg"
불행 군은 키스할 수 밖에 없어,BL,#fee6ef,#85a4cc,#543521,#f3cca4,#c08b57,0.5585379464285715,0.14541170634920636,0.13817584325396826,0.10590897817460318,0.051965525793650796,불행 군은 키스할 수 밖에 없어.jpg
비겁하다고 웃어도 좋아,BL,#f5f9fa,#f3e9dc,#d4c5bc,#af9d94,#796969,0.39611235119047616,0.2893880208333333,0.14151475694444443,0.10925719246031745,0.06372767857142857,비겁하다고 웃어도 좋아.jpg
비즈니스 퍼포먼스,BL,#d6c7c2,#766e73,#ab9e9b,#f4f0eb,#464047,0.2418587570621469,0.24151341807909604,0.19263912429378532,0.17950494350282487,0.1444837570621469,비즈니스 퍼포먼스.jpg
비취의 한숨(개정판),BL,#fcfcde,#7d803a,#9daf53,#e9d47f,#4b5315,0.30147879464285715,0.2163876488095238,0.2051029265873016,0.15452938988095238,0.12250124007936508,비취의 한숨(개정판).jpg
사람으로 돌아가고 싶어,BL,#7168a0,#d49e97,#ae6666,#efe4da,#572d3d,0.24184027777777778,0.23562748015873017,0.19983568948412697,0.17025359623015873,0.15244295634920635,사람으로 돌아가고 싶어.jpg
사랑은 가면의 안쪽에,BL,#fcfdfa,#454545,#dbdeb2,#dec545,#658ca6,0.5317119295634921,0.18745969742063492,0.1195467509920635,0.10285528273809524,0.058426339285714286,사랑은 가면의 안쪽에.jpg
사랑을 주세요,BL,#f0f6ec,#f4b1a7,#bcc1f6,#4b3935,#a57a76,0.5004557291666667,0.274085441468254,0.08633742559523809,0.08198164682539683,0.057139756944444446,사랑을 주세요.jpg
사랑하게 될 거야,BL,#fceae4,#f9c6b1,#cb8b61,#161216,#503f3c,0.2813399057539683,0.2644717261904762,0.2105654761904762,0.1539527529761905,0.08967013888888889,사랑하게 될 거야.jpg
"살려줘요, 호감도 MAX",BL,#ddccbf,#b9a390,#f3f2ea,#796768,#413135,0.27865513392857144,0.23623201884920636,0.20844804067460318,0.1814050099206349,0.09525979662698413,"살려줘요, 호감도 MAX.jpg"
상속게임,BL,#bea698,#34242a,#a68779,#755f58,#ede4d8,0.305211433531746,0.21865699404761904,0.21460503472222223,0.1547123015873016,0.10681423611111111,상속게임.jpg
선생님의 선생님,BL,#fcf7f5,#e5d0c0,#cb9d8d,#4a5b6c,#3e9ea9,0.49559771825396826,0.21103980654761906,0.13693886408730158,0.11274181547619047,0.04368179563492063,선생님의 선생님.jpg
성스러운 밤의 신사협정,BL,#48352f,#8e7c5f,#e8d4b6,#fcf6ea,#baaa8b,0.30308469742063493,0.1908172123015873,0.19028087797619048,0.16593501984126985,0.14988219246031745,성스러운 밤의 신사협정.jpg
섹스리스,BL,#2c1f25,#ea9b5e,#dd5d47,#f2c579,#67443c,0.6662481398809523,0.1001984126984127,0.0941437251984127,0.09233940972222222,0.0470703125,섹스리스.jpg
소꿉친구가 너무 잘생겨서 거부할 수 없어,BL,#fbdee1,#faf4f5,#cdb7bb,#a6857b,#66403e,0.58515625,0.1945715525793651,0.09304935515873015,0.06812065972222223,0.05910218253968254,소꿉친구가 너무 잘생겨서 거부할 수 없어.jpg
소꿉친구와의 이것 저것,BL,#fef8f0,#eecdd0,#2f1f1f,#553f41,#b38c94,0.4388454861111111,0.21071738591269842,0.1833891369047619,0.10615079365079365,0.06089719742063492,소꿉친구와의 이것 저것.jpg
소년을 위로해줘,BL,#cad2d4,#e3f3f4,#a6e6fe,#2b3a42,#6c7e85,0.31028645833333335,0.27944878472222223,0.18215835813492062,0.15652591765873017,0.07158048115079366,소년을 위로해줘.jpg
수컷하우스 맨심,BL,#f6e7d6,#494647,#b8ae9c,#bf565e,#0e0807,0.40515648567119156,0.29433760683760685,0.12316176470588236,0.09929298642533936,0.07805115635997989,수컷하우스 맨심.jpg
순진한 삐뚤어진 꽃,BL,#fefefd,#eae4ce,#0d7676,#d89872,#624d52,0.6812686011904762,0.1390780009920635,0.06636904761904762,0.06528707837301587,0.04799727182539683,순진한 삐뚤어진 꽃.jpg
스다 군의 비밀(개정판),BL,#fceaea,#c4a298,#edc6bd,#88696d,#4b3b46,0.4357049851190476,0.16479724702380952,0.14405691964285713,0.1429749503968254,0.11246589781746032,스다 군의 비밀(개정판).jpg
스윙 베이비,BL,#fbfdfe,#f3e1de,#4e595e,#c4baaa,#618992,0.5255394345238096,0.14538380456349206,0.12198040674603175,0.11565600198412698,0.09144035218253968,스윙 베이비.jpg
스타와 보디가드의 수상한 관계,BL,#d4bfc4,#f9f4f4,#1d1918,#705b54,#a1908a,0.3242559523809524,0.320024181547619,0.20502232142857144,0.08062996031746032,0.07006758432539682,스타와 보디가드의 수상한 관계.jpg
슬기로운 생활,BL,#f5ddde,#cabdc8,#e79aa6,#160d0f,#7c626a,0.38441220238095236,0.21536458333333333,0.21006324404761906,0.10382874503968254,0.0863312251984127,슬기로운 생활.jpg
신과 날지 못하는 심부름꾼,BL,#fdf5eb,#f1d7c0,#cda491,#935c63,#431a41,0.39463665674603177,0.2734250992063492,0.15589967757936507,0.08989335317460317,0.0861452132936508,신과 날지 못하는 심부름꾼.jpg
신복,BL,#f7e3d3,#793a2a,#431c16,#a86252,#cf9a89,0.28977554563492064,0.23365575396825397,0.19732452876984127,0.15124317956349206,0.12800099206349205,신복.jpg
신부는 신의 뜻대로,BL,#fdfcfb,#62544f,#cb152b,#f2d8c3,#9c8681,0.48156932043650796,0.20582217261904762,0.12561073908730158,0.12468067956349206,0.06231708829365079,신부는 신의 뜻대로.jpg
실루엣을 덧그리면(개정판),BL,#e5bdb3,#b68484,#705359,#fefbfa,#170e0f,0.28577938988095236,0.2511532738095238,0.21968005952380953,0.15145709325396825,0.09193018353174603,실루엣을 덧그리면(개정판).jpg
아랫집 웬수 (개정판),BL,#f8f7ec,#e1c6b5,#414b5d,#191d23,#8d867e,0.4918433779761905,0.18621341765873015,0.14322606646825398,0.0908296130952381,0.0878875248015873,아랫집 웬수 (개정판).jpg
아무것도 말하지 않아,BL,#f9e2d9,#df9a5c,#f0c1ad,#fffffe,#754b34,0.42433035714285716,0.21354786706349208,0.1986111111111111,0.10906498015873016,0.054445684523809525,아무것도 말하지 않아.jpg
아스란히,BL,#efdcd9,#d7b8b4,#b18988,#694f52,#060303,0.40862785218253966,0.2659319196428571,0.15480220734126984,0.10558655753968255,0.06505146329365079,아스란히.jpg
아웃 오브 컨트롤,BL,#f6eeec,#2f232b,#6e4552,#a8747c,#d3b3ae,0.3036365327380952,0.18842695932539683,0.1822544642857143,0.16941964285714287,0.1562624007936508,아웃 오브 컨트롤.jpg
악마와 나 사이에는,BL,#2d273c,#646380,#862b2f,#c18a76,#ead3d0,0.4326295882936508,0.19380580357142857,0.17394283234126984,0.11237909226190476,0.08724268353174604,악마와 나 사이에는.jpg
안게 해줄 때까지 포기 못 해,BL,#faf9fa,#f1dad2,#c69892,#1d1920,#5a4d52,0.3632874503968254,0.32524181547619047,0.1558252728174603,0.08749069940476191,0.0681547619047619,안게 해줄 때까지 포기 못 해.jpg
안녕 내 운명,BL,#f7e7d3,#fde949,#484135,#857752,#c5baa8,0.31710689484126986,0.19133494543650795,0.18560267857142856,0.17473958333333334,0.13121589781746032,안녕 내 운명.jpg
"안드로이드 말야, XX할 수 있어",BL,#0e0a07,#2f2729,#eecfc8,#a1897d,#c70539,0.4949032738095238,0.23463541666666668,0.13453311011904762,0.0847718253968254,0.05115637400793651,"안드로이드 말야, XX할 수 있어.jpg"
안티스캔들,BL,#8d9588,#738171,#aea79a,#c1bab1,#342d2f,0.28149181547619045,0.2582837301587302,0.22998201884920635,0.1302610367063492,0.09998139880952381,안티스캔들.jpg
알아채기 쉬운,BL,#212032,#fdfafe,#e1cccd,#534572,#ab8593,0.554256572420635,0.12979600694444443,0.12038380456349207,0.11458953373015873,0.08097408234126983,알아채기 쉬운.jpg
앞으로는 둘이서,BL,#fcf6e8,#ecc9b6,#5b4c5c,#231f2f,#ac8e8a,0.7536706349206349,0.0980623759920635,0.058937872023809526,0.05343501984126984,0.03589409722222222,앞으로는 둘이서.jpg
애신록,BL,#e7d3b8,#9f9176,#642b31,#2a1c23,#b32738,0.2676339285714286,0.2033606150793651,0.2025638640873016,0.16821676587301587,0.15822482638888888,애신록.jpg
애정보이스,BL,#f0cfc0,#f1a99a,#c6a298,#8c594c,#592e23,0.33058965773809523,0.2517857142857143,0.2027002728174603,0.1689205109126984,0.046003844246031746,애정보이스.jpg
언로맨틱 퀘스트,BL,#fbf2eb,#d4d3d2,#3d3e46,#96989f,#646a78,0.349054439484127,0.22243303571428572,0.15671502976190477,0.1380952380952381,0.13370225694444443,언로맨틱 퀘스트.jpg
엔딩을 위한 계약 연애,BL,#c1a4b1,#8d7d9b,#f6f7fc,#71586d,#392c40,0.29093501984126985,0.25302269345238093,0.2398375496031746,0.11235739087301587,0.10384734623015873,엔딩을 위한 계약 연애.jpg
여기저기 우리들은,BL,#eef5e8,#aeddf1,#2d7544,#6ac4e8,#779e7b,0.3092230902777778,0.2659319196428571,0.16378038194444444,0.14481646825396827,0.11624813988095238,여기저기 우리들은.jpg
연인사냥,BL,#f5e5e5,#c5afb3,#695965,#948591,#3b333a,0.24221850198412698,0.21000124007936508,0.1898065476190476,0.18112289186507938,0.17685081845238096,연인사냥.jpg
